State	Total Area	Land Area	Population	State Bird	landlocked	Representatives	Electoral Votes
AL	52,420 square miles	50,744.00 square miles	4,779,736	Yellowhammer	coast	7	9
AK	665,384 square miles	571,951.26 square miles	710,231	Willow Ptarmigan	coast	1	3
AZ	113,990 square miles	113,634.57 square miles	6,392,017	Cactus Wren	landlocked	9	11
AR	53,179 square miles	52,068.17 square miles	2,915,918	Mockingbird	landlocked	4	6
CA	163,695 square miles	155,959.34 square miles	37,253,956	California Valley Quail	coast	53	55
CO	104,094 square miles	103,717.53 square miles	5,029,196	Lark Bunting	landlocked	7	9
CT	5,543 square miles	4,844.80 square miles	3,574,097	Robin	coast	5	7
DE	2,489 square miles	1,953.56 square miles	897,934	Blue Hen Chicken	coast	1	3
DC	68 square miles	61.4 square miles	601,723	Wood Thrush	landlocked	0	
FL	65,758 square miles	53,926.82 square miles	18,801,310	Mockingbird	coast	27	29
GA	59,425 square miles	57,906.14 square miles	9,687,653	Brown Thrasher	coast	14	16
HI	10,932 square miles	6,422.62 square miles	1,360,301	Nene	coast	2	4
ID	83,569 square miles	82,747.21 square miles	1,567,582	Mountain Bluebird	landlocked	2	4
IL	57,914 square miles	55,583.58 square miles	12,830,632	Cardinal	landlocked	18	20
IN	36,420 square miles	35,866.90 square miles	6,483,802	Cardinal	landlocked	9	11
IA	56,273 square miles	55,869.36 square miles	3,046,355	Eastern Goldfinch	landlocked	4	6
KS	82,278 square miles	81,814.88 square miles	2,853,118	Western Meadowlark	landlocked	4	6
KY	40,408 square miles	39,728.18 square miles	4,339,367	Cardinal	landlocked	6	8
LA	52,378 square miles	43,561.85 square miles	4,533,372	Eastern Brown Pelican	coast	6	8
ME	35,380 square miles	30,861.55 square miles	1,328,361	Chickadee	coast	2	4
MD	12,406 square miles	9,773.82 square miles	5,773,552	Baltimore Oriole	coast	8	10
MA	10,554 square miles	7,840.02 square miles	6,547,629	Chickadee	coast	9	11
MI	96,714 square miles	56,803.82 square miles	9,883,640	American Robin	landlocked	14	16
MN	86,936 square miles	79,610.08 square miles	5,303,925	Common Loon	landlocked	8	10
MS	48,432 square miles	46,906.96 square miles	2,967,297	Mockingbird	coast	4	6
MO	69,707 square miles	68,885.93 square miles	5,988,927	Bluebird	landlocked	8	10
MT	147,040 square miles	145,552.43 square miles	989,415	Western Meadowlark	landlocked	1	3
NE	77,348 square miles	76,872.41 square miles	1,826,341	Western Meadowlark	landlocked	3	5
NV	110,572 square miles	109,825.99 square miles	2,700,551	Mountain Bluebird	landlocked	4	6
NH	9,349 square miles	8,968.10 square miles	1,316,470	Purple Finch	coast	2	4
NJ	8,723 square miles	7,417.34 square miles	8,791,894	Eastern Goldfinch	coast	12	14
NM	121,590 square miles	121,355.53 square miles	2,059,179	Roadrunner	landlocked	3	5
NY	54,555 square miles	47,213.79 square miles	19,378,102	Bluebird	coast	27	29
NC	53,819 square miles	48,710.88 square miles	9,535,483	Cardinal	coast	13	15
ND	70,698 square miles	68,975.93 square miles	672,591	Western Meadowlark	landlocked	1	3
OH	44,826 square miles	40,948.38 square miles	11,536,504	Cardinal	landlocked	16	18
OK	69,899 square miles	68,667.06 square miles	3,751,351	Scissor-tailed Flycatcher	landlocked	5	7
OR	98,379 square miles	95,996.79 square miles	3,831,074	Western Meadowlark	coast	5	7
PA	46,054 square miles	44,816.61 square miles	12,702,379	Ruffed Grouse	landlocked	18	20
RI	1,545 square miles	1,044.93 square miles	1,052,567	Rhode Island Red	coast	2	4
SC	32,020 square miles	30,109.47 square miles	4,625,364	Great Carolina Wren	coast	7	9
SD	77,116 square miles	75,884.64 square miles	814,180	Ring-necked Pheasant	landlocked	1	3
TN	42,144 square miles	41,217.12 square miles	6,346,105	Mockingbird	landlocked	9	11
TX	268,596 square miles	261,797.12 square miles	25,145,561	Mockingbird	coast	36	38
UT	84,897 square miles	82,143.65 square miles	2,763,885	Common American Gull	landlocked	4	6
VT	9,616 square miles	9,249.56 square miles	625,741	Hermit Thrush	landlocked	1	3
VA	42,775 square miles	39,594.07 square miles	8,001,024	Cardinal	coast	11	13
WA	71,298 square miles	66,544.06 square miles	6,724,540	Willow Goldfinch	coast	10	12	61.
WV	24,230 square miles	24,077.73 square miles	1,852,994	Cardinal	landlocked	3	5
WI	65,496 square miles	54,310.10 square miles	5,686,986	Robin	landlocked	8	10
WY	97,813 square miles	97,100.40 square miles	563,626	Western Meadowlark	landlocked	1	3
